Id,p1,sample,p3,p4,p5,
candidate11,0.202477666,0.411208908,0.045666754,0.009848335,0.1862234,0.171085013
candidate13,0.677685835,0.830339138,0.7004309,0.47738138,0.3847128,0.614110011
candidate15,0.358972349,0.648588015,0.44044018,0.000726093,0.5324157,0.396228467
candidate17,0.585825203,0.531295211,0.4115965,0.48748133,0.14460135,0.432159919
candidate22,0.313659636,0.405686541,0.5760098,0.19125552,0.54353762,0.406029823
candidate26,0.693236906,0.627646483,0.8217586,0.21626717,0.0506798,0.481917792
candidate33,0.59289869,0.829131677,0.3361016,0.12073197,0.0183258,0.379437947
candidate40,0.539482044,0.899615704,0.37585947,0.23645191,0.3773905,0.485759926
candidate42,0.317185447,0.776244107,0.41204888,0.667455,0.301066,0.494799887
candidate49,0.498578994,0.421473295,0.36250058,0.21783723,0.4999341,0.40006484
candidate56,0.335997129,0.591111743,0.30267417,0.03472601,0.27460843,0.307823496
candidate59,0.498855399,0.192717335,0.7393559,0.5537615,0.4114359,0.479225207
candidate60,0.23564412,0.143393237,0.26752138,0.021953478,0.51426437,0.236555317
candidate68,0.365841865,0.285674838,0.5908607,0.31602362,0.23666096,0.359012397
candidate75,0.405917905,0.936855549,0.09640953,0.008504384,0.5289621,0.395329894
candidate76,0.342205641,0.441717741,0.33031356,0.018910633,0.65500236,0.357629987
candidate77,0.480978725,0.834427802,0.076586895,0.04159657,0.02942103,0.292602204
candidate79,0.266383582,0.495391578,0.22663555,0.032717984,0.55798936,0.315823611
candidate85,0.813188058,0.589513471,0.96938556,1.60E-06,0.87296723,0.649011184
candidate99,0.315783909,0.401247633,0.6679129,0.74771976,0.1700411,0.46054106
candidate100,0.440853278,0.028549109,0.6973372,0.00146138,0.214746,0.276589393
candidate103,0.14652469,0.245529809,0.17023283,0.13507473,0.45620984,0.23071438
candidate107,0.735431396,0.352471061,0.9818918,0.75294167,0.02188486,0.568924157
candidate108,0.71326053,0.714897579,0.7304074,0.6602978,0.3475713,0.633286922
candidate112,0.349637524,0.434845594,0.3178631,0.28784236,0.2269026,0.323418236
candidate116,0.475734127,0.756704977,0.27866507,0.036970966,0.31555134,0.372725296
candidate117,0.222566501,0.690580074,0.041417327,0.001390082,0.2059891,0.232388617
candidate118,9.78E-02,0.226672029,0.16450402,0.00222839,0.970495643,0.292340016
candidate128,0.430638685,0.79574312,0.9182853,0.61622256,0.68375427,0.688928787
candidate129,2.51E-01,0.85237646,0.15331112,0.001433451,0.983102886,0.448244783
candidate132,0.375922993,0.75333902,0.48514327,0.3822383,0.4771717,0.494763057
candidate137,0.371528381,0.083218524,0.5395956,0.22945873,0.60463986,0.365688219
candidate144,0.090993255,0.073587788,0.05178975,0.000465779,0.71338007,0.186043328
candidate146,0.377051924,0.907976845,0.28671265,0.006380308,0.0597589,0.327576125
candidate149,0.672512792,0.665529748,0.8217451,0.54635465,0.5122606,0.643680578
candidate165,0.698849492,0.661491486,0.2706473,0.26621363,0.1844225,0.416324882
candidate167,0.481175156,0.940765473,0.31825215,0.20326425,0.52631018,0.493953442
candidate170,0.31696137,0.125105177,0.4437829,0.43706334,0.45608336,0.355799229
candidate174,0.351901726,0.852066323,0.2613497,0.10918435,0.2758656,0.37007354
